Player,Team,PPG,PPG_L10
AJ Dybantsa,BYU,25.3,27.0
Dominique Daniels Jr.,Cal Baptist,23.2,26.3
Darius Acuff Jr.,Arkansas,22.7,28.7
Cameron Boozer,Duke,22.5,21.2
JT Toppin,Texas Tech,21.8,22.2
Labaron Philon Jr.,Alabama,21.7,22.6
Nasir Whitlock,Lehigh,21.0,23.3
Nick Boyd,Wisconsin,20.6,21.4
Simeon Cottle,Kennesaw State,20.2,
Cruz Davis,Hofstra,20.2,17.9
Dontae Horne,Prairie View,20.2,25.2
Bruce Thornton,Ohio State,20.2,22.5
Tavari Johnson,Akron,20.1,19.5
Bennett Stirtz,Iowa,20.0,20.3
Caleb Wilson,North Carolina,19.8,17.5
Darryn Peterson,Kansas,19.8,18.7
Graham Ike,Gonzaga,19.7,21.7
Boopie Miller,SMU,19.2,19.2
Tyler Tanner,Vanderbilt,19.2,19.6
John Blackwell,Wisconsin,19.0,19.7
Christian Anderson,Texas Tech,18.9,17.4
Paulius Murauskas,Saint Mary's,18.8,17.8
Malik Reneau,Miami,18.8,16.2
Ryan Conwell,Louisville,18.7,19.5
Mark Mitchell,Missouri,18.3,20.2
Robert Wright III,BYU,18.2,18.9
Tai'Reon Joseph,Prairie View,18.2,4.5
Mikel Brown Jr.,Louisville,18.2,25.2
Otega Oweh,Kentucky,18.2,20.7
Kristian Gonzalez,Idaho,18.0,
Ja'Kobi Gillespie,Tennessee,18.0,16.9
Richie Saunders,BYU,18.0,0.0
Gavin Doty,Siena,17.9,20.1
Keaton Wagler,Illinois,17.9,17.4
Pryce Sandfort,Nebraska,17.8,19.2
Braden Huff,Gonzaga,17.8,
Alex Wilkins,Furman,17.7,15.3
MJ Collins Jr.,Utah State,17.6,16.0
Jaron Pierre Jr.,SMU,17.6,17.9
Tyler Bilodeau,UCLA,17.6,16.1
Nate Ament,Tennessee,17.5,17.2
Larry Johnson,McNeese State,17.5,18.5
Milan Momcilovic,Iowa State,17.1,14.0
Bryce Harris,Howard,17.1,16.7
Cedric Taylor III,Howard,17.1,18.6
Thomas Haugh,Florida,17.1,15.2
Jeremiah Wilkinson,Georgia,17.0,16.8
Ethan Roberts,Penn,16.9,13.9
Joshua Jefferson,Iowa State,16.9,16.6
Aden Holloway,Alabama,16.8,16.1
Henri Veesaar,North Carolina,16.7,16.6
Wes Enis,South Florida,16.7,20.3
Tre Donaldson,Miami,16.5,17.8
Kingston Flemings,Houston,16.4,15.8
Duke Miles,Vanderbilt,16.4,16.4
Zuby Ejiofor,St. John's,16.3,16.4
Mason Falslev,Utah State,16.1,15.9
Terry Anderson,High Point,16.0,17.2
Brayden Burries,Arizona,15.9,16.5
Preston Edmead,Hofstra,15.9,16.1
Christian Hammond,Santa Clara,15.8,13.7
TJ Power,Penn,15.8,20.0
Izaiyah Nelson,South Florida,15.8,15.1
Jeremy Fears Jr.,Michigan State,15.7,17.4
John Mobley Jr.,Ohio State,15.7,17.3
Meleek Thomas,Arkansas,15.6,15.6
Thijs De Ridder,Virginia,15.5,14.2
Emanuel Sharp,Houston,15.3,13.0
Rob Martin,High Point,15.3,18.1
Alex Condon,Florida,15.0,18.5
Hank Alvey,Lehigh,15.0,18.9
Isaiah Evans,Duke,14.9,16.2
Thomas Dowd,Troy,14.8,14.4
Victor Valdes,Troy,14.8,12.2
Rashaun Agee,Texas A&M,14.7,15.6
Brian Taylor II,Tennessee State,14.6,15.9
Blake Barkley,Tennessee State,14.6,16.2
Peter Suder,Miami (OH),14.6,15.3
Amani Lyles,Akron,14.6,14.7
Joseph Pinion,South Florida,14.5,13.2
RJ Johnson,Kennesaw State,14.5,17.4
Yaxel Lendeborg,Michigan,14.4,15.1
Terrence Hill Jr.,VCU,14.4,14.1
Riley Kugel,UCF,14.4,14.0
Damari Wheeler-Thomas,North Dakota State,14.4,15.9
Tyshawn Archie,McNeese State,14.3,16.1
David Punch,TCU,14.3,14.3
Brant Byers,Miami (OH),14.2,11.7
Mikey Lewis,Saint Mary's,14.2,16.5
Themus Fulks,UCF,14.1,14.5
Cooper Bowser,Furman,14.0,14.7
Seth Trimble,North Carolina,14.0,13.8
Braden Smith,Purdue,14.0,12.3
Jah'Likai King,UMBC,13.9,13.6
Elijah Mahi,Santa Clara,13.9,12.9
Ven-Allen Lubin,NC State,13.9,15.0
Evan Ipsaro,Miami (OH),13.9,
Paul McNeil Jr.,NC State,13.9,14.1
Quadir Copeland,NC State,13.9,14.2
Jackson Rasmussen,Idaho,13.9,15.5
Tre White,Kansas,13.8,12.1
Fletcher Loyer,Purdue,13.8,14.6
Lazar Djokovic,VCU,13.8,13.5
Darrion Williams,NC State,13.8,10.7
Trey Campbell,Northern Iowa,13.7,14.3
Kolton Mitchell,Idaho,13.7,13.6
Shelton Henderson,Miami,13.7,11.7
Tarris Reed Jr.,UConn,13.7,13.2
Tyler Perkins,Villanova,13.7,15.1
Devin Royal,Ohio State,13.7,13.4
Koa Peat,Arizona,13.6,11.4
Solo Ball,UConn,13.5,12.3
Donovan Atwell,Texas Tech,13.5,16.5
Donovan Dent,UCLA,13.5,12.9
Bryce Hopkins,St. John's,13.5,12.6
Flory Bidunga,Kansas,13.5,11.1
Rienk Mast,Nebraska,13.5,12.3
Trey Kaufman-Renn,Purdue,13.4,16.5
Michael Cooper,Wright State,13.4,12.3
Andrej Stojakovic,Illinois,13.4,13.8
David Mirkovic,Illinois,13.4,15.6
Tyler Nickel,Vanderbilt,13.3,11.2
Blue Cain,Georgia,13.3,13.1
Morez Johnson Jr.,Michigan,13.3,12.2
Nolan Winter,Wisconsin,13.3,10.8
Tamin Lipsey,Iowa State,13.3,13.1
Jaden Bradley,Arizona,13.3,12.8
Cam Morris III,Tennessee State,13.2,9.9
DJ Armstrong Jr.,UMBC,13.2,12.8
Jayden Stone,Missouri,13.2,11.1
Justice Shoats,Siena,13.2,11.5
Denzel Aberdeen,Kentucky,13.2,15.5
Kylan Boswell,Illinois,13.2,10.3
Trevon Brazile,Arkansas,13.1,14.0
Cory Wells,Prairie View,13.1,13.6
Joshua Dent,Saint Mary's,13.0,12.4
Jordan Burks,UCF,13.0,14.2
Theo Seng,Troy,12.9,11.8
Robbie Avila,Saint Louis,12.9,12.8
Melvin Council Jr.,Kansas,12.9,11.1
Latrell Wrightsell,Alabama,12.8,13.6
B.J. Edwards,SMU,12.7,8.8
Trent Perry,UCLA,12.7,13.0
Cooper Campbell,Troy,12.7,13.7
Martel Williams,Cal Baptist,12.7,10.1
Cam'Ron Fletcher,High Point,12.7,7.2
Shammah Scott,Akron,12.7,13.0
Jaxon Kohler,Michigan State,12.7,11.7
Xavier Edmonds,TCU,12.6,12.6
Eian Elmer,Miami (OH),12.6,14.8
Alex Karaban,UConn,12.6,10.6
Asa Thomas,Furman,12.4,10.9
Biko Johnson,Idaho,12.4,11.3
Malik Thomas,Virginia,12.4,13.0
Duke Brennan,Villanova,12.4,13.0
Acaden Lewis,Villanova,12.3,13.4
TJ Burch,Wright State,12.3,14.6
Isaiah Brickner,Idaho,12.1,14.5
Tru Washington,Miami,12.1,12.6
Ace Valentine,UMBC,12.0,14.0
Kanon Catchings,Georgia,12.0,14.8
Trevian Carson,North Dakota State,12.0,8.3
Javohn Garcia,McNeese State,12.0,15.7
Braylon Mullins,UConn,12.0,12.4
RJ Godfrey,Clemson,11.9,12.1
Marcus Millender,Georgia,11.9,11.8
Bryce Lindsay,Villanova,11.9,8.1
Leon Bond III,Northern Iowa,11.9,12.7
J'Vonne Hadley,Louisville,11.8,14.9
Michael Imariagbe,Wright State,11.8,11.9
Markhi Strickland,North Dakota State,11.8,8.6
Jamichael Stillwell,UCF,11.7,10.4
Michael Zanoni,Penn,11.7,10.7
Amari Allen,Alabama,11.7,12.2
Skyy Clark,UCLA,11.7,9.1
Coen Carr,Michigan State,11.6,12.0
Braden Frager,Nebraska,11.6,9.6
Allen Graves,Santa Clara,11.6,14.6
Rylan Griffen,Texas A&M,11.6,11.8
Aday Mara,Michigan,11.6,12.3
Boogie Fland,Florida,11.6,12.4
Xaivian Lee,Florida,11.5,13.3
Josh Omojafo,South Florida,11.5,9.6
LeJuan Watts,Texas Tech,11.5,8.6
Corey Washington,SMU,11.3,11.7
Eric Dailey Jr.,UCLA,11.3,11.3
Will Hornseth,Northern Iowa,11.2,13.4
Rueben Chinyelu,Florida,11.2,9.2
Tyon Grant-Foster,Gonzaga,11.2,11.3
CJ Brown,South Florida,11.2,8.9
Braedan Lue,Kennesaw State,11.1,10.7
Milos Uzan,Houston,11.1,10.9
Dion Brown,Saint Louis,11.1,11.6
Aiden Sherrell,Alabama,11.1,12.3
Trey Green,Saint Louis,11.1,8.4
Francis Folefac,Siena,11.1,11.3
Christoph Tilly,Ohio State,11.0,8.9
Silas Demary Jr.,UConn,10.9,10.2
Billy Richmond III,Arkansas,10.8,16.0
Samet Yigitoglu,SMU,10.8,10.9
Carson Cooper,Michigan State,10.8,11.2
Sam Lewis,Virginia,10.8,11.1
Marcus Hill,Texas A&M,10.8,11.1
Patrick Ngongba II,Duke,10.7,10.7
Oziyah Sellers,St. John's,10.7,10.1
Isaac McKneely,Louisville,10.6,8.3
Joshua Ingram,Lehigh,10.6,10.0
Trent Pierce,Missouri,10.6,12.0
Cam Gillus,Howard,10.6,12.7
Motiejus Krivas,Arizona,10.5,8.9
Jayden Pierre,TCU,10.5,10.6
Micah Robinson,TCU,10.5,12.4
Ose Okojie,Howard,10.5,11.5
Tavion Banks,Iowa,10.5,9.5
Mackenzie Mgbako,Texas A&M,10.4,
Treyson Anderson,North Dakota State,10.4,9.8
Amari McCottry,Saint Louis,10.3,9.9
Oscar Cluff,Purdue,10.3,11.0
Edouard Benoit,Lehigh,10.3,6.4
Luke Skaljac,Miami (OH),10.3,12.9
Rubén Dominguez,Texas A&M,10.3,5.8
Antwone Woolfolk,Miami (OH),10.3,10.2
Frankquon Sherman,Kennesaw State,10.3,13.4
Carter Welling,Clemson,10.2,10.6
Elliot Cadeau,Michigan,10.2,10.9
Evan Mahaffey,Akron,10.2,11.7
Almar Atlason,Miami (OH),10.1,8.2
Lance Williams,Prairie View,10.1,12.8
J.P. Estrella,Tennessee,10.1,12.2
Pop Isaacs,Texas A&M,10.1,9.8
Jadrian Tracey,VCU,10.1,9.5
Ivan Kharchenkov,Arizona,10.1,11.5
Devin Askew,Villanova,10.0,9.5
Tomislav Ivisic,Illinois,10.0,9.8
Solomon Callaghan,Wright State,9.9,8.3
Collin Chandler,Kentucky,9.9,11.3
Ben Schwieger,Northern Iowa,9.9,9.7
Kellen Thames,Saint Louis,9.9,9.7
Malique Ewin,Arkansas,9.8,10.0
Luka Bogavac,North Carolina,9.8,9.4
Charles Johnston,Furman,9.8,9.2
AK Okereke,Vanderbilt,9.8,12.0
Caden Diggs,UMBC,9.8,9.9
Amare Bynum,Ohio State,9.7,10.9
Urban Klavzar,Florida,9.7,9.3
Jamarques Lawrence,Nebraska,9.7,7.5
Trey McKenney,Michigan,9.7,8.0
Devin McGlockton,Vanderbilt,9.7,8.9
Tasman Goodrick,Siena,9.7,
Jestin Porter,Clemson,9.6,7.6
Somtochukwu Cyril,Georgia,9.6,10.1
Sam Hoiberg,Nebraska,9.6,10.1
Austin Rapp,Wisconsin,9.6,10.1
Ian Jackson,St. John's,9.6,7.0
Biggie Patterson,Hofstra,9.5,10.1
Jaylen Petty,Texas Tech,9.5,9.9
Chance Mallory,Virginia,9.5,7.9
Chris Cenac Jr.,Houston,9.5,9.0
Noah Feddersen,North Dakota State,9.4,13.1
Tobe Awaka,Arizona,9.4,8.8
Owen Aquino,High Point,9.4,11.6
Tre Holloman,NC State,9.3,8.3
Jayden Jackson,Cal Baptist,9.3,11.1
Doug Young,Prairie View,9.3,
German Plotnikov,Hofstra,9.3,10.5
Conrad Martinez,High Point,9.3,6.3
Andy Stefonowicz,North Dakota State,9.2,10.1
Trey Simpson,Kennesaw State,9.2,8.6
Sananda Fru,Louisville,9.2,5.9
Matt Hodge,Villanova,9.2,8.4
Jalen Washington,Vanderbilt,9.2,8.8
Quentin Jones,Saint Louis,9.2,7.3
Nick Davidson,Clemson,9.1,8.7
Jaylen Smith,Tennessee State,9.1,7.4
Ishan Sharma,Saint Louis,9.1,8.6
Tristan Smith,Northern Iowa,9.1,8.4
Karson Templin,Utah State,9.1,10.4
Anthony Dell'Orso,Arizona,9.0,11.0
Matt Able,NC State,9.0,10.6
Cobi Campbell,Troy,9.0,6.2
Dominic Pangonis,Wright State,9.0,8.0
T.O. Barrett,Missouri,8.9,12.3
Brandon Jennings,VCU,8.9,8.7
Travelle Bryson,Howard,8.8,9.0
Jacari White,Virginia,8.8,8.9
Anthony Robinson II,Missouri,8.8,7.8
Sash Gavalyugov,Santa Clara,8.8,9.9
Kellen Pickett,Wright State,8.7,12.0
Mouhamed Dioubate,Kentucky,8.7,9.3
Scotty Washington,High Point,8.7,10.3
Alex Cotton,Howard,8.7,9.3
Joey Madimba,Prairie View,8.7,9.8
Josh Odunowo,UMBC,8.6,10.1
Jacob Crews,Missouri,8.6,3.8
Mario Saint-Supery,Gonzaga,8.6,8.9
Brendan Coyle,Siena,8.6,7.8
Nyk Lewis,VCU,8.5,9.6
Adrian Wooley,Louisville,8.5,8.5
Caleb Foster,Duke,8.5,6.7
Kennard Davis Jr.,BYU,8.5,11.2
Andrew McKeever,Saint Mary's,8.4,8.4
Davis Fogle,Gonzaga,8.4,10.4
Ace Buckner,Clemson,8.4,10.7
C.J. Cox,Purdue,8.4,8.2
L.J. Cason,Michigan,8.4,11.2
Liutauras Lelevicius,TCU,8.4,9.6
Braeden Carrington,Wisconsin,8.4,11.4
Blake Buchanan,Iowa State,8.4,9.1
Joseph Tugler,Houston,8.4,9.5
Joson Sanon,St. John's,8.3,8.2
DJ Richards Jr.,McNeese State,8.3,7.4
AJ Levine,Penn,8.3,10.2
Jordan McCullum,Tennessee State,8.3,9.8
Nimari Burnett,Michigan,8.2,6.3
Jerrell Bellamy,Troy,8.2,12.2
Garwey Dual,McNeese State,8.2,7.2
Bryson Tiller,Kansas,8.2,7.2
Dillon Mitchell,St. John's,8.2,5.5
Tom House,Furman,8.1,8.4
Karter Knox,Arkansas,8.1,1.0
Killyan Toure,Iowa State,8.1,4.4
Alvaro Folgueiras,Iowa,8.1,6.8
Jaden Harris,Kennesaw State,8.0,9.0
Jarin Stevenson,North Carolina,8.0,10.1
Jaland Lowe,Kentucky,8.0,
Bukky Oboye,Santa Clara,8.0,6.6
Brock Harding,TCU,8.0,6.7
Malachi Moreno,Kentucky,8.0,7.1
Tanner Toolson,TCU,8.0,9.7
Bowen Hardman,Akron,7.9,8.3
Brody Rowbury,Idaho,7.8,6.7
Jaden Toombs,SMU,7.8,8.5
Eric Mahaffey,Akron,7.8,7.2
Frankie Collins,Vanderbilt,7.8,
Kur Teng,Michigan State,7.7,9.5
Felix Okpara,Tennessee,7.7,10.0
Tay Smith,North Dakota State,7.7,8.8
Drake Allen,Utah State,7.7,9.8
Shawn Phillips Jr.,Missouri,7.7,7.6
Cooper Koch,Iowa,7.7,9.1
Brenton Knapper,Santa Clara,7.7,6.7
Ramone Seals,Kennesaw State,7.6,1.4
Adam Miller,Gonzaga,7.6,8.5
Kolby King,Utah State,7.6,6.4
Dillon Hunter,Clemson,7.5,6.2
Dawson Baker,BYU,7.5,
Dillan Shaw,Saint Mary's,7.5,7.5
D.J. Wagner,Arkansas,7.5,8.1
Jaylen Carey,Tennessee,7.4,5.9
Antonio Chandler,Siena,7.3,13.8
Michael Belle,VCU,7.3,7.3
Barry Evans,VCU,7.3,6.6
Sharron Young,Akron,7.3,7.5
Ben Vander Wal,Furman,7.3,4.2
Roddy Gayle Jr.,Michigan,7.2,5.4
Andrew Urosevic,Lehigh,7.2,5.6
Johann Grunloh,Virginia,7.2,5.9
Amir Taylor,Kennesaw State,7.2,12.3
Zach Clemence,Texas A&M,7.1,11.4
Cayden Boozer,Duke,7.1,9.2
Brandon Noel,Ohio State,7.1,2.0
Cam Manyawu,Iowa,7.1,8.1
Dylan Darling,St. John's,7.0,8.4
Ugnius Jarusevicius,Nebraska,7.0,
Sebastian Mack,Missouri,7.0,
Zvonimir Ivisic,Illinois,7.0,6.6
Zac Foster,Clemson,6.9,
Jamarion Batemon,Iowa State,6.9,9.1
Ernest Udeh Jr.,Miami,6.9,7.0
Xavier Booker,UCLA,6.9,6.0
Braden Hausen,High Point,6.8,6.1
Brady Dunlap,Saint Louis,6.8,4.3
Garry Clark,Utah State,6.8,4.0
Eric Reibe,UConn,6.8,5.9
Jalen Warley,Gonzaga,6.8,4.8
Ugonna Onyenso,Virginia,6.7,7.3
Jack Payne,Idaho,6.7,6.7
Jordan Ross,Georgia,6.6,4.0
Houston Mallette,Alabama,6.6,4.6
Max Weisbrod,Northern Iowa,6.5,9.8
Adlan Elamin,Utah State,6.5,5.0
Jose Roberto Tanchyn,UMBC,6.5,8.2
Marcel Bryant,Prairie View,6.5,1.5
Brayden Crump,Tennessee State,6.4,
Justin Kirby,Miami (OH),6.4,5.0
Dante Allen,Miami,6.4,6.2
Jacari Lane,Texas A&M,6.4,2.7
Chris Johnson,UCF,6.4,7.4
Derek Dixon,North Carolina,6.4,7.6
Berke Buyuktuncel,Nebraska,6.4,4.8
